CountyId,State,County,TotalPop,Men,Women,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
48043,Texas,Brewster County,9220,4464,4756,38906,3618,26073,2325,10.9,7.6,4151,57.2,33.7,7.4,1.7,7.1
48045,Texas,Briscoe County,1591,796,795,42500,7062,23199,2789,13.9,17.2,729,64.2,20.2,14.3,1.4,6.2
48047,Texas,Brooks County,7251,3750,3501,24794,3253,13549,1662,41.5,62.3,2489,63.6,27.3,9.1,0.0,13.8
48049,Texas,Brown County,37787,18741,19046,43062,1925,24040,1409,16.4,24.7,15238,76.9,15.1,8.0,0.0,4.3
48051,Texas,Burleson County,17596,8781,8815,52510,4429,27112,1779,15.1,26.9,7697,71.9,18.5,9.3,0.4,6.7
48053,Texas,Burnet County,45017,22234,22783,57173,3823,29247,1770,12.3,18.4,19567,75.3,12.4,12.0,0.3,4.3
48055,Texas,Caldwell County,40544,20563,19981,51346,2389,23366,1304,17.7,22.9,18238,74.3,18.9,6.7,0.1,3.4
48057,Texas,Calhoun County,21821,10976,10845,58788,3841,26909,1580,15.8,24.6,9676,83.8,10.5,5.7,0.0,6.3
48059,Texas,Callahan County,13660,6650,7010,40945,2635,22205,1487,15.6,15.4,5128,72.1,16.3,10.2,1.4,3.5
48061,Texas,Cameron County,420201,203657,216544,36095,962,16085,329,31.2,43.9,153938,73.8,17.1,8.9,0.3,8.0
48063,Texas,Camp County,12670,6215,6455,41811,3097,21069,1432,17.4,24.4,5274,75.1,15.0,8.9,1.0,6.1
48065,Texas,Carson County,6033,2888,3145,67010,6981,31788,2489,6.4,7.8,2896,71.3,20.3,8.1,0.2,1.9
48067,Texas,Cass County,30118,14599,15519,41432,2577,22145,1125,18.5,30.7,11991,74.0,16.7,9.3,0.0,7.3
48069,Texas,Castro County,7891,3958,3933,44643,3842,22292,4461,15.9,22.7,3289,75.8,12.6,10.3,1.3,4.2
48071,Texas,Chambers County,39283,19679,19604,74368,8078,31412,1542,12.9,17.8,16713,75.6,16.4,7.7,0.3,6.5
48073,Texas,Cherokee County,51594,26307,25287,44294,2017,21102,1071,18.7,29.0,20526,73.1,20.0,6.8,0.2,6.1
48075,Texas,Childress County,7064,3933,3131,40432,6002,18694,2746,19.6,15.7,2515,68.9,25.6,5.4,0.0,5.2
48077,Texas,Clay County,10369,5184,5185,46863,4871,27593,2301,15.0,21.8,4373,74.4,14.5,10.9,0.3,7.2
48079,Texas,Cochran County,2932,1492,1440,37500,3978,19195,2005,24.8,34.7,1189,65.9,22.5,11.5,0.2,8.0
48081,Texas,Coke County,3238,1609,1629,42500,6360,24623,1913,16.6,19.5,1462,58.1,31.7,10.3,0.0,4.3
48083,Texas,Coleman County,8422,4282,4140,40804,3227,26436,3192,20.3,29.0,3310,72.6,15.6,11.8,0.1,5.1
48085,Texas,Collin County,914075,448915,465160,90124,995,41609,444,6.9,8.2,474671,84.3,9.7,5.9,0.1,4.3
48087,Texas,Collingsworth County,3026,1508,1518,46348,6241,21356,2113,15.0,25.8,1386,65.2,26.2,8.7,0.0,7.1
48089,Texas,Colorado County,20913,10487,10426,50241,3748,26689,1937,12.0,15.3,9491,73.3,17.6,8.8,0.2,2.9
48091,Texas,Comal County,129100,63732,65368,73655,1751,35841,827,9.2,14.1,59833,78.7,12.8,8.0,0.4,3.8
48093,Texas,Comanche County,13492,6710,6782,42419,2872,22751,1575,18.2,29.2,5454,75.4,14.3,10.0,0.3,3.6
48095,Texas,Concho County,3858,2622,1236,46696,9020,17513,2719,8.5,13.8,1023,55.0,25.9,19.1,0.0,0.4
48097,Texas,Cooke County,39064,19358,19706,60027,2476,29067,1064,13.9,24.7,18724,77.5,14.9,7.3,0.2,5.2
48099,Texas,Coryell County,75818,37921,37897,50865,1533,21171,1082,13.3,18.9,23306,62.0,31.8,6.1,0.1,9.9
48101,Texas,Cottle County,1498,758,740,33534,5773,20566,2966,24.5,35.8,651,61.6,24.6,13.4,0.5,10.7
48103,Texas,Crane County,4836,2515,2321,63935,9605,24582,1869,11.8,16.6,2023,84.0,13.2,2.8,0.0,2.6
48105,Texas,Crockett County,3836,1903,1933,52310,7773,23296,3356,20.9,39.8,1733,66.9,19.2,13.8,0.0,2.4
48107,Texas,Crosby County,5895,2918,2977,38674,2969,20057,1734,20.8,29.7,2519,72.1,19.7,7.9,0.2,7.7
48109,Texas,Culberson County,2257,1162,1095,33125,11492,16763,2601,29.4,47.3,974,73.4,18.8,7.8,0.0,5.3
48111,Texas,Dallam County,7207,3880,3327,45580,8818,25221,4782,15.9,24.6,3501,77.5,10.9,11.4,0.1,3.7
48113,Texas,Dallas County,2552213,1257751,1294462,53626,437,29810,247,17.7,27.1,1252101,84.3,9.1,6.4,0.2,5.9
48115,Texas,Dawson County,13095,7274,5821,43201,4374,21360,1861,18.5,20.4,4968,70.4,20.1,9.3,0.3,6.7
48117,Texas,Deaf Smith County,18947,9499,9448,51543,3468,21209,1250,18.0,26.8,8619,80.9,12.9,5.5,0.7,5.0
48119,Texas,Delta County,5172,2552,2620,42642,5710,22732,2155,22.9,40.1,1980,72.6,19.6,7.8,0.0,6.4
48121,Texas,Denton County,781321,384390,396931,80290,1119,37928,397,8.4,9.4,419189,82.7,11.6,5.5,0.2,4.5
48123,Texas,DeWitt County,20474,10697,9777,50960,5037,28116,2303,16.0,20.2,7965,76.9,16.1,6.7,0.2,6.5
48125,Texas,Dickens County,2224,1186,1038,43088,3488,24171,3281,16.6,19.3,747,65.9,22.0,12.0,0.1,15.0
48127,Texas,Dimmit County,10822,5284,5538,31384,5343,17939,3265,30.2,43.3,3805,72.7,16.6,10.7,0.0,15.0
48129,Texas,Donley County,3433,1714,1719,44429,6281,23212,1865,14.9,23.5,1421,66.6,19.3,14.1,0.0,4.6
48131,Texas,Duval County,11434,5891,5543,35443,5975,19085,2049,25.2,36.2,3950,73.5,18.5,7.2,0.8,13.6
48133,Texas,Eastland County,18278,9337,8941,32135,3314,20433,2001,17.4,24.6,6910,76.6,15.8,6.6,0.9,5.7
48135,Texas,Ector County,155744,78798,76946,59528,2471,27728,973,12.3,15.6,72576,82.3,11.0,6.5,0.1,6.9
48137,Texas,Edwards County,2111,965,1146,48462,24610,28968,13175,7.0,12.4,888,64.9,18.2,16.9,0.0,5.1
48139,Texas,Ellis County,164092,80837,83255,67371,2205,28612,695,10.5,14.6,78597,79.5,13.1,7.2,0.2,4.6
48141,Texas,El Paso County,834825,409199,425626,43244,675,19950,268,21.7,30.2,341350,74.0,19.5,6.3,0.1,7.0
48143,Texas,Erath County,41016,20118,20898,47013,2530,23511,1391,22.6,21.5,19076,77.0,14.0,8.3,0.6,4.3
48145,Texas,Falls County,17289,8135,9154,38834,4055,17755,973,25.2,37.7,5774,77.4,15.5,6.9,0.1,6.1
48147,Texas,Fannin County,33787,17846,15941,47875,2798,23212,927,14.8,19.1,13407,72.5,19.9,7.3,0.3,5.2
48149,Texas,Fayette County,24963,12188,12775,56941,5047,30405,1931,9.1,10.1,11626,75.9,13.5,10.2,0.4,1.5
48151,Texas,Fisher County,3875,1867,2008,45294,3897,27750,3592,17.4,24.5,1728,68.3,18.2,13.1,0.4,5.6
48153,Texas,Floyd County,5953,2911,3042,48767,4541,24347,2488,18.2,28.7,2444,75.3,15.1,9.6,0.0,6.4
48155,Texas,Foard County,1414,749,665,50000,15300,26034,4635,5.7,5.3,591,60.9,27.1,11.2,0.8,11.3
48157,Texas,Fort Bend County,711421,349697,361724,93645,1349,38382,621,8.1,10.7,339159,82.3,11.8,5.7,0.2,5.3
48159,Texas,Franklin County,10639,5409,5230,43967,4356,23642,2098,15.0,22.8,4397,74.0,11.1,14.1,0.8,7.6
48161,Texas,Freestone County,19646,10224,9422,45890,4462,24060,1797,17.3,26.4,7422,73.3,19.6,7.1,0.0,4.2
48163,Texas,Frio County,19110,11363,7747,37382,4996,16833,2042,20.3,26.8,6859,76.6,16.8,6.6,0.0,7.3
48165,Texas,Gaines County,19889,10082,9807,58167,5868,22656,2576,11.0,11.6,8134,76.0,12.5,11.0,0.4,4.5
48167,Texas,Galveston County,321184,158564,162620,65702,1802,33870,571,13.9,19.7,149076,77.0,16.7,6.1,0.1,6.5
48169,Texas,Garza County,6739,4369,2370,53832,4373,20635,4165,13.5,26.1,2445,72.2,16.7,11.1,0.0,2.0
48171,Texas,Gillespie County,25939,12655,13284,56267,3468,32557,2310,12.4,22.6,11800,73.4,8.9,17.2,0.5,5.0
48173,Texas,Glasscock County,1420,792,628,64886,26246,32885,6824,11.6,6.1,669,76.8,14.1,9.1,0.0,0.0
48175,Texas,Goliad County,7510,3778,3732,56737,6539,30075,3418,16.4,31.2,2994,71.7,20.7,7.6,0.0,6.4
48177,Texas,Gonzales County,20558,10400,10158,47516,3368,23635,1542,17.2,25.0,8939,76.6,14.8,8.4,0.3,5.1
48179,Texas,Gray County,22962,12143,10819,48314,5246,23457,1409,14.9,20.3,9498,81.2,12.1,6.6,0.1,4.9
48181,Texas,Grayson County,126146,61556,64590,52683,2034,26535,639,14.3,19.7,57373,79.8,12.5,7.4,0.2,6.5
48183,Texas,Gregg County,123402,60366,63036,47970,1445,25144,748,17.6,24.5,55237,84.3,10.1,5.5,0.1,4.8
48185,Texas,Grimes County,27358,15070,12288,49745,3213,23585,2861,18.6,30.7,10403,76.7,15.4,7.7,0.3,5.5
48187,Texas,Guadalupe County,150889,74611,76278,66187,1709,29300,692,10.6,14.6,70169,76.3,17.8,5.6,0.3,4.5
48189,Texas,Hale County,34527,17906,16621,46012,2409,19205,866,19.8,27.2,14267,74.3,19.1,6.4,0.2,6.4
48191,Texas,Hall County,3102,1552,1550,31324,4587,20022,3934,22.2,27.7,1125,66.8,22.4,9.3,1.4,13.0
48193,Texas,Hamilton County,8220,4062,4158,46611,6707,26522,3521,16.1,23.8,3584,69.3,18.1,11.1,1.5,3.1
48195,Texas,Hansford County,5532,2760,2772,40678,3734,21989,2565,18.7,27.5,2394,72.6,14.2,13.2,0.0,3.8
48197,Texas,Hardeman County,3990,1950,2040,37995,4188,21517,2118,13.8,15.9,1695,65.3,27.4,6.8,0.5,6.7
48199,Texas,Hardin County,55993,27365,28628,56131,3351,29693,1678,12.0,15.0,24056,82.1,13.7,4.1,0.1,4.4
48201,Texas,Harris County,4525519,2251060,2274459,57791,503,30856,222,16.8,25.0,2180392,83.4,9.8,6.6,0.2,6.4
48203,Texas,Harrison County,66606,32517,34089,48644,2576,25123,1681,17.9,24.2,27603,80.9,12.8,6.1,0.2,7.2
48205,Texas,Hartley County,5821,3524,2297,64427,4662,20676,2181,8.1,11.4,2049,76.2,13.0,8.8,2.0,1.2
48207,Texas,Haskell County,5806,3247,2559,43529,6157,21120,2295,19.3,32.6,2180,62.4,18.7,18.1,0.8,9.5
48209,Texas,Hays County,194843,96973,97870,62815,1681,29253,738,15.3,14.8,99069,75.3,17.6,6.9,0.3,5.3
48211,Texas,Hemphill County,4152,1976,2176,68679,8021,29470,3571,8.8,14.3,1898,73.7,16.9,9.4,0.0,6.9
48213,Texas,Henderson County,79687,38840,40847,44888,1447,24315,975,18.0,29.2,31087,76.2,14.9,8.7,0.2,6.2
48215,Texas,Hidalgo County,839539,410383,429156,37097,803,15883,288,31.8,43.8,313678,71.2,17.2,11.4,0.1,8.1
48217,Texas,Hill County,35098,17374,17724,45970,2801,23342,1140,17.5,27.0,14579,78.0,14.0,7.8,0.3,8.1
48219,Texas,Hockley County,23273,11505,11768,49184,2913,22673,994,14.9,18.7,10337,81.1,12.7,6.0,0.3,7.4
48221,Texas,Hood County,55418,27199,28219,60275,2698,32578,1911,12.3,20.3,22905,80.1,10.5,9.1,0.3,3.0
48223,Texas,Hopkins County,35929,17643,18286,47832,1988,24236,1087,17.9,27.3,15408,78.5,12.7,8.5,0.3,5.9
48225,Texas,Houston County,22849,12274,10575,33552,2167,17884,1092,24.7,40.3,7642,67.1,21.8,11.0,0.0,4.5
48227,Texas,Howard County,36491,20588,15903,50855,2162,22994,1387,13.9,16.6,14393,72.7,20.7,6.3,0.3,6.7
48229,Texas,Hudspeth County,3702,1841,1861,26346,4472,12543,2216,35.6,51.5,1083,63.1,26.4,10.5,0.0,5.7
48231,Texas,Hunt County,90322,44432,45890,49319,2246,23942,706,18.8,26.2,38753,79.8,13.9,6.2,0.1,6.5
48233,Texas,Hutchinson County,21704,10838,10866,50035,4099,25154,1481,16.4,23.6,9149,81.2,12.9,5.8,0.1,5.2
48235,Texas,Irion County,1592,853,739,63021,10537,32307,4502,13.5,16.3,718,69.4,16.0,13.8,0.8,6.9
48237,Texas,Jack County,8839,4973,3866,52829,5647,25553,2356,18.2,27.8,3160,76.1,13.8,9.5,0.6,3.6
48239,Texas,Jackson County,14756,7214,7542,58504,5746,26809,1678,13.7,17.9,6760,76.2,15.1,7.9,0.8,4.7
48241,Texas,Jasper County,35444,17420,18024,41960,4187,21402,1245,16.8,22.3,12541,80.2,14.1,5.8,0.0,10.3
48243,Texas,Jeff Davis County,2236,1070,1166,46534,10024,25167,3334,6.7,0.0,911,54.8,29.6,15.6,0.0,5.1
48245,Texas,Jefferson County,254574,130404,124170,46315,1252,25370,616,19.4,29.2,105319,83.0,13.0,3.9,0.1,6.5
48247,Texas,Jim Hogg County,5262,2623,2639,31403,4984,17761,2786,26.0,35.9,1646,62.0,30.4,7.7,0.0,17.0
48249,Texas,Jim Wells County,41318,20134,21184,41103,3613,20631,1578,23.0,32.4,16282,78.5,13.1,8.4,0.0,5.3
48251,Texas,Johnson County,160173,79887,80286,60458,1793,26574,672,11.0,14.6,72273,82.4,10.8,6.7,0.2,4.9
48253,Texas,Jones County,19969,12658,7311,48601,5941,17960,1698,15.9,19.9,5057,65.5,23.2,11.1,0.3,4.2
48255,Texas,Karnes County,15051,8960,6091,53051,5261,27011,2534,19.3,32.1,5433,70.1,21.8,7.7,0.5,4.1
48257,Texas,Kaufman County,114852,56347,58505,63926,2146,26631,722,12.4,16.4,53146,77.5,16.5,5.8,0.2,6.5
48259,Texas,Kendall County,40306,19568,20738,81023,5739,39517,2548,5.7,7.7,18640,75.8,13.6,10.7,0.0,4.4
48261,Texas,Kenedy County,564,280,284,24800,15011,13705,4641,24.8,29.9,183,66.1,33.9,0.0,0.0,0.0
48263,Texas,Kent County,680,311,369,52250,12784,27515,5559,17.9,42.0,304,51.3,39.5,8.2,1.0,1.6
48265,Texas,Kerr County,50761,24563,26198,48698,2928,28484,1842,13.8,23.3,21475,72.3,15.2,12.5,0.0,6.0
48267,Texas,Kimble County,4432,2140,2292,41095,2463,26982,5998,22.1,36.4,2027,69.8,18.5,11.5,0.1,6.4
48269,Texas,King County,289,150,139,56964,20503,29918,7391,3.5,6.8,173,72.8,20.2,6.9,0.0,6.0
48271,Texas,Kinney County,3631,2234,1397,34926,7639,21395,2872,10.6,8.3,1351,56.6,35.7,7.7,0.0,8.1
48273,Texas,Kleberg County,31540,16290,15250,41700,3197,19806,1248,23.7,27.4,13683,69.1,25.7,4.8,0.3,9.7
48275,Texas,Knox County,3753,1879,1874,46319,5444,21046,1742,14.7,23.2,1504,70.5,20.5,8.4,0.7,5.1
48277,Texas,Lamar County,49401,23876,25525,42198,2190,23625,1106,17.8,26.1,21134,79.4,13.6,6.8,0.2,5.6
48279,Texas,Lamb County,13368,6832,6536,43712,2899,21760,1344,20.5,28.3,5671,74.6,18.2,7.1,0.2,3.6
48281,Texas,Lampasas County,20473,10144,10329,54467,3818,26405,1316,12.0,14.9,8612,70.3,21.8,7.7,0.1,7.4
48283,Texas,La Salle County,7418,4347,3071,44601,8414,26268,8675,8.2,8.7,2716,82.9,10.6,6.5,0.0,5.4
48285,Texas,Lavaca County,19859,9596,10263,51708,2822,29946,1909,10.5,13.3,8843,74.7,15.3,9.9,0.1,2.9
48287,Texas,Lee County,16850,8476,8374,55741,4948,26740,1964,13.8,19.0,7894,72.2,15.7,11.7,0.4,4.5
48289,Texas,Leon County,16966,8485,8481,44875,4612,27096,3287,16.3,27.0,6574,68.6,16.0,15.0,0.4,7.1
48291,Texas,Liberty County,79884,39491,40393,48344,3470,22153,988,16.2,21.5,28685,79.3,13.9,6.5,0.3,7.8
48293,Texas,Limestone County,23480,12071,11409,40356,2445,21093,1333,20.7,33.5,8824,64.3,25.7,10.0,0.0,10.3
48295,Texas,Lipscomb County,3495,1880,1615,59583,7827,29995,2575,10.5,13.5,1653,68.8,17.8,13.1,0.3,5.2
48297,Texas,Live Oak County,12043,6548,5495,51480,4529,22847,2374,16.3,23.8,4301,71.0,15.8,12.2,1.0,3.8
48299,Texas,Llano County,20195,9848,10347,50524,4101,35680,2754,12.5,19.9,7660,73.2,12.2,14.2,0.3,8.3
48301,Texas,Loving County,74,39,35,80938,32455,35530,10371,17.1,0.0,39,53.8,28.2,17.9,0.0,0.0
48303,Texas,Lubbock County,298042,147080,150962,49078,1138,26196,499,18.8,21.4,145154,78.1,16.1,5.7,0.1,4.8
48305,Texas,Lynn County,5785,2957,2828,44922,3955,26758,2557,18.0,26.9,2419,74.8,16.1,8.8,0.3,8.1
48307,Texas,McCulloch County,8145,4171,3974,42367,7500,23398,2283,16.3,25.1,3658,68.5,17.7,13.2,0.6,3.2
48309,Texas,McLennan County,245720,119894,125826,46262,1239,24273,645,19.3,26.1,112592,81.0,13.2,5.6,0.2,5.1
48311,Texas,McMullen County,600,321,279,71389,19963,33472,11546,7.0,0.0,202,63.9,19.8,16.3,0.0,26.3
48313,Texas,Madison County,13979,8649,5330,44004,4196,17436,1473,15.4,18.5,4249,67.2,21.2,10.8,0.8,3.1
48315,Texas,Marion County,10140,5025,5115,36938,3112,25933,3074,22.3,37.9,3635,73.3,16.4,10.1,0.2,10.7
48317,Texas,Martin County,5547,2856,2691,71115,10287,28560,2865,7.0,7.8,2527,76.4,12.0,11.4,0.3,1.9
48319,Texas,Mason County,4122,2200,1922,40949,3689,24519,2922,12.6,20.1,2173,74.8,7.5,17.3,0.4,2.8
48321,Texas,Matagorda County,36744,18249,18495,44896,4175,23294,1398,20.6,33.8,16009,79.5,14.4,6.0,0.1,6.4
48323,Texas,Maverick County,57471,28522,28949,37734,2701,16658,850,24.5,32.1,21113,74.8,20.6,4.4,0.2,12.9
48325,Texas,Medina County,48548,25073,23475,59305,2261,25572,1305,12.7,17.4,20958,75.4,15.8,8.6,0.2,5.3
48327,Texas,Menard County,2123,1159,964,37917,11237,23613,3104,9.8,11.9,1014,60.1,23.5,15.7,0.8,5.1
48329,Texas,Midland County,159883,80338,79545,75815,3574,38545,1300,8.7,11.5,80471,82.9,9.7,7.3,0.2,3.5
48331,Texas,Milam County,24479,12194,12285,41768,2688,22911,1288,16.0,25.5,9527,73.1,19.3,7.4,0.3,5.5
48333,Texas,Mills County,4887,2275,2612,46318,7679,24858,3726,14.9,19.8,2055,71.3,18.4,10.0,0.2,2.9
48335,Texas,Mitchell County,8774,5417,3357,52194,3002,19741,1868,7.9,9.0,2801,66.5,24.3,8.2,1.0,6.4
48337,Texas,Montague County,19406,9512,9894,46592,4160,26278,1905,15.5,21.7,7938,81.5,11.3,6.8,0.5,6.6
48339,Texas,Montgomery County,535187,265034,270153,74323,1461,38012,871,10.3,13.9,249640,81.1,10.7,8.1,0.1,4.9
